task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	c9/3ebaf8	8005685	SCATACPIPE:PREPROCESS_CHROMAP:DOWNLOAD_FROM_ENSEMBL_GTF (1)	CACHED	0	2022-06-15 18:28:48.129	1m 5s	39.3s	1.7%	5.6 MB	53.5 MB	144.1 MB	47.5 MB
2	01/9a7818	5657802	SCATACPIPE:INPUT_CHECK_FASTQ:SAMPLESHEET_CHECK_FASTQ (10X_human_scatac_fastq_new_style.csv)	CACHED	0	2022-05-12 10:47:39.238	34s	335ms	55.3%	6.9 MB	40.4 MB	799.3 KB	4.4 KB
1	9c/1f6a6f	8005686	SCATACPIPE:PREPROCESS_CHROMAP:DOWNLOAD_FROM_ENSEMBL (1)	CACHED	0	2022-06-15 18:28:48.861	11m 10s	10m 36s	1.5%	5.1 MB	53.5 MB	3.3 GB	841.7 MB
14	55/1c051c	5657807	SCATACPIPE:PREPROCESS_CHROMAP:MATCH_SAMPLE_NAME (1)	CACHED	0	2022-05-12 10:48:15.692	1m 8s	58s	15.7%	3.5 MB	39 MB	8.6 GB	8.6 GB
12	88/a0cd98	5657816	SCATACPIPE:PREPROCESS_CHROMAP:MATCH_SAMPLE_NAME (5)	CACHED	0	2022-05-12 10:48:19.192	3m 39s	3m 3s	8.4%	3.5 MB	39 MB	8 GB	8 GB
13	0a/e97f03	5657811	SCATACPIPE:PREPROCESS_CHROMAP:MATCH_SAMPLE_NAME (4)	CACHED	0	2022-05-12 10:48:17.430	1m 46s	1m 23s	21.6%	3.5 MB	39 MB	8.5 GB	8.5 GB
15	24/44ced5	5657808	SCATACPIPE:PREPROCESS_CHROMAP:MATCH_SAMPLE_NAME (7)	CACHED	0	2022-05-12 10:48:16.235	27.2s	23.3s	15.0%	3.5 MB	39 MB	1.3 GB	1.3 GB
5	c8/084005	5657806	SCATACPIPE:PREPROCESS_CHROMAP:MATCH_SAMPLE_NAME (2)	CACHED	0	2022-05-12 10:48:14.718	1m 44s	1m 20s	16.8%	3.5 MB	39 MB	14.6 GB	14.6 GB
8	02/0bb767	5657817	SCATACPIPE:PREPROCESS_CHROMAP:MATCH_SAMPLE_NAME (11)	CACHED	0	2022-05-12 10:48:19.451	4m 54s	4m 41s	14.6%	3.5 MB	39 MB	14.4 GB	14.4 GB
11	cd/edf7fb	5657812	SCATACPIPE:PREPROCESS_CHROMAP:MATCH_SAMPLE_NAME (6)	CACHED	0	2022-05-12 10:48:17.756	1m 46s	1m 21s	21.7%	3.5 MB	39 MB	8 GB	8 GB
10	65/81e011	5657813	SCATACPIPE:PREPROCESS_CHROMAP:MATCH_SAMPLE_NAME (9)	CACHED	0	2022-05-12 10:48:18.080	1m 5s	32.4s	20.4%	3.5 MB	39 MB	2 GB	2 GB
16	41/4a98c7	5657814	SCATACPIPE:PREPROCESS_CHROMAP:MATCH_SAMPLE_NAME (8)	CACHED	0	2022-05-12 10:48:18.471	1m 15s	55.7s	4.4%	3.5 MB	39 MB	1.3 GB	1.3 GB
4	72/c9e6d4	8005749	SCATACPIPE:PREPROCESS_CHROMAP:PREP_GENOME (1)	CACHED	0	2022-06-15 18:39:58.812	7m 45s	7m 13s	103.2%	242.2 MB	279.8 MB	15.5 GB	12.6 GB
6	64/9bbbb4	5657810	SCATACPIPE:PREPROCESS_CHROMAP:MATCH_SAMPLE_NAME (3)	CACHED	0	2022-05-12 10:48:17.039	2m 16s	2m 9s	21.7%	3.5 MB	39 MB	14.5 GB	14.5 GB
