task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
87	5a/f6324e	8040644	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_CALL_PEAKS_CLUSTERS (1)	CACHED	0	2022-06-17 14:06:53.670	50m 55s	50m 16s	599.6%	13.2 GB	17.6 GB	3.4 TB	30.6 GB
94	0a/c753a2	8038043	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_GET_CLUSTERING_TSV (3)	CACHED	0	2022-06-17 13:14:33.938	34.5s	18.3s	97.9%	539.5 MB	890.1 MB	63.2 MB	25.7 KB
102	21/ca2f9a	8038050	SCATACPIPE:SPLIT_BED (1)	CACHED	0	2022-06-17 13:15:08.947	2m 4s	1m 37s	95.8%	1.8 GB	1.8 GB	185.3 MB	666.9 MB
86	c5/fb176a	8038575	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_SCRNASEQ_UNCONSTRAINED (1)	CACHED	0	2022-06-17 13:31:08.690	17m 15s	17m 5s	232.7%	41.4 GB	46.2 GB	49.3 GB	34.4 GB
103	81/a78ed5	8040118	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_SCRNASEQ_CONSTRAINED (1)	CACHED	0	2022-06-17 13:48:23.833	31m 35s	31m 15s	175.9%	32.5 GB	37.2 GB	65.2 GB	37.3 GB
104	68/9f861a	8040701	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_PSEUDO_BULK_CLUSTERS2 (1)	CACHED	0	2022-06-17 14:19:58.649	26m 25s	26m 6s	601.9%	11.3 GB	15 GB	71.4 GB	20.4 GB
101	ff/238e56	8040782	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_PAIRWISE_TEST_CLUSTERS (1)	CACHED	0	2022-06-17 14:57:49.010	6m 35s	6m 19s	102.0%	1.1 GB	1.5 GB	3 GB	96.1 MB
105	84/0ff1da	8040999	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_MARKER_GENE_CLUSTERS2 (1)	FAILED	1	2022-06-17 15:11:18.305	14m 33s	14m 30s	-	-	-	-	-
106	f9/8b0001	8040996	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_CALL_PEAKS_CLUSTERS2 (1)	COMPLETED	0	2022-06-17 15:11:16.797	15m 14s	14m 58s	568.5%	12.5 GB	17.9 GB	2.7 TB	25 GB
108	9c/139be5	8041052	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_PAIRWISE_TEST_CLUSTERS2 (1)	COMPLETED	0	2022-06-17 15:26:31.782	6m 34s	5m 49s	102.3%	1.1 GB	1.5 GB	3 GB	98 MB
109	80/1131ca	8041051	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_GET_MARKER_PEAKS_CLUSTERS2 (1)	COMPLETED	0	2022-06-17 15:26:31.567	17m 5s	17m 1s	152.2%	8.4 GB	11.9 GB	34.2 GB	453.8 MB
110	2e/afb224	8041239	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_MOTIF_ENRICHMENT_CLUSTERS2 (1)	COMPLETED	0	2022-06-17 15:43:36.640	8m 40s	8m 28s	94.4%	4.3 GB	4.8 GB	506.8 GB	1 GB
100	ea/ecb5ea	8040997	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_GET_MARKER_PEAKS_CLUSTERS (1)	COMPLETED	0	2022-06-17 15:11:17.402	1h 8m 29s	1h 8m 9s	137.6%	8.9 GB	12.1 GB	43.2 GB	561.8 MB
107	91/ee24ec	8041042	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_MARKER_GENE_CLUSTERS2 (1)	COMPLETED	0	2022-06-17 15:25:51.347	1h 18m 10s	1h 17m 59s	169.2%	9.3 GB	12.6 GB	111 GB	3.3 GB
112	39/8ccded	8041454	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_MOTIF_ENRICHMENT_CLUSTERS (1)	COMPLETED	0	2022-06-17 16:19:46.472	26m 15s	24m 32s	98.2%	4.6 GB	5.2 GB	532.1 GB	1.1 GB
113	12/dd6221	8041548	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_MARKER_PEAKS_IN_TRACKS_CLUSTERS2 (1)	COMPLETED	0	2022-06-17 16:44:01.503	4m 5s	3m 33s	136.9%	7.2 GB	9 GB	1.8 GB	5.4 MB
88	5a/8b4097	8040998	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_MARKER_GENE_CLUSTERS (1)	COMPLETED	0	2022-06-17 15:11:17.946	1h 39m 48s	1h 39m 32s	165.9%	9 GB	12.3 GB	124.1 GB	3.3 GB
115	ef/9b8169	8041659	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_MARKER_PEAKS_IN_TRACKS_CLUSTERS (1)	COMPLETED	0	2022-06-17 16:51:06.557	2m 5s	1m 30s	113.1%	7.2 GB	8.9 GB	1.7 GB	6.1 MB
111	29/09d769	8041304	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_MOTIF_DEVIATIONS_CLUSTERS2 (1)	COMPLETED	0	2022-06-17 15:52:16.467	4h 5m 15s	4h 4m 54s	313.5%	33.1 GB	36.6 GB	36.3 GB	845.2 MB
117	81/fbbd9a	8042268	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_GET_POSITIVE_TF_REGULATOR_CLUSTERS2 (1)	COMPLETED	0	2022-06-17 19:57:31.989	2m 10s	1m 32s	173.8%	8.8 GB	12.1 GB	5.3 GB	5.9 MB
118	81/c42e16	8042269	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_COACCESSIBILITY_CLUSTERS2 (1)	COMPLETED	0	2022-06-17 19:57:32.079	6m 15s	5m 49s	96.8%	4.5 GB	6.9 GB	4.5 GB	192.3 MB
119	a6/d570ae	8042272	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_FOOTPRINTING_CLUSTERS2 (1)	COMPLETED	0	2022-06-17 19:57:32.373	6m 14s	5m 58s	280.9%	38.8 GB	42.8 GB	847.3 GB	16.1 MB
120	6b/0f7124	8042270	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_PEAK2GENELINKAGE_CLUSTERS2 (1)	COMPLETED	0	2022-06-17 19:57:32.178	7m 20s	7m 5s	186.2%	26.2 GB	28.7 GB	11 GB	3.3 GB
114	f6/8f7b72	8041638	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_MOTIF_DEVIATIONS_CLUSTERS (1)	COMPLETED	0	2022-06-17 16:46:01.493	3h 45m 55s	3h 45m 44s	304.5%	33 GB	36.4 GB	25.1 GB	782 MB
121	01/dc303f	8042292	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_GET_POSITIVE_TF_REGULATOR_CLUSTERS (1)	COMPLETED	0	2022-06-17 20:31:56.939	2m 5s	1m 39s	158.7%	9.2 GB	12.6 GB	5.3 GB	5.9 MB
122	2b/124747	8042294	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_FOOTPRINTING_CLUSTERS (1)	COMPLETED	0	2022-06-17 20:31:57.250	6m 10s	5m 48s	306.8%	38.6 GB	42.5 GB	874.6 GB	19.6 MB
123	d7/c7e56b	8042293	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_COACCESSIBILITY_CLUSTERS (1)	COMPLETED	0	2022-06-17 20:31:57.145	7m 10s	7m 3s	93.8%	16.5 GB	18.9 GB	4.4 GB	208.2 MB
116	51/a9ce1a	8042271	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_TRAJECTORY_CLUSTERS2 (1)	COMPLETED	0	2022-06-17 19:57:32.272	54m 30s	54m 10s	239.5%	27.5 GB	32.8 GB	64.2 GB	1.2 GB
124	6d/8d4937	8042303	SCATACPIPE:MULTIQC	COMPLETED	0	2022-06-17 20:52:01.985	34.8s	26.3s	16.3%	81.3 MB	380.4 MB	169.1 MB	2.1 MB
