task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
54	d6/956205	8005965	SCATACPIPE:PREPROCESS_CHROMAP:GET_VALID_BARCODE_CHROMAP (6)	CACHED	0	2022-06-15 19:50:18.900	34.9s	29.4s	98.4%	378.1 MB	646.5 MB	126.8 MB	110.1 MB
55	dc/2aad0b	8005855	SCATACPIPE:PREPROCESS_CHROMAP:GET_VALID_BARCODE_CHROMAP (1)	CACHED	0	2022-06-15 18:58:03.930	34.8s	13.6s	87.3%	220.6 MB	489.1 MB	56.6 MB	41.2 MB
56	68/64d7ee	8005900	SCATACPIPE:PREPROCESS_CHROMAP:GET_VALID_BARCODE_CHROMAP (3)	CACHED	0	2022-06-15 19:22:28.865	34.9s	25.7s	93.5%	295.6 MB	564.2 MB	105.2 MB	88.9 MB
51	5f/700d34	8005964	SCATACPIPE:PREPROCESS_CHROMAP:GET_VALID_BARCODE_CHROMAP (5)	CACHED	0	2022-06-15 19:49:43.984	1m 10s	38.2s	77.0%	374.8 MB	643.3 MB	129.2 MB	112.5 MB
57	17/96cb46	8005904	SCATACPIPE:PREPROCESS_CHROMAP:FILTER_CELL_CHROMAP (4)	CACHED	0	2022-06-15 19:23:18.861	2m 10s	2m 1s	153.3%	11.8 MB	57.5 MB	4.2 GB	4 GB
58	de/d44d85	8005967	SCATACPIPE:PREPROCESS_CHROMAP:FILTER_CELL_CHROMAP (6)	CACHED	0	2022-06-15 19:50:54.089	4m 10s	4m 5s	154.9%	12.5 MB	57.7 MB	8.8 GB	8.5 GB
60	15/38b68a	8005903	SCATACPIPE:PREPROCESS_CHROMAP:FILTER_CELL_CHROMAP (3)	CACHED	0	2022-06-15 19:23:03.939	2m 10s	2m 3s	157.4%	11.8 MB	57.5 MB	4.4 GB	4.3 GB
59	f6/ead83b	8005966	SCATACPIPE:PREPROCESS_CHROMAP:FILTER_CELL_CHROMAP (5)	CACHED	0	2022-06-15 19:50:54.009	4m 10s	3m 48s	145.1%	12.4 MB	57.7 MB	7.2 GB	6.5 GB
61	9a/92b365	8005858	SCATACPIPE:PREPROCESS_CHROMAP:FILTER_CELL_CHROMAP (1)	CACHED	0	2022-06-15 18:58:38.834	34.9s	15s	138.6%	11.3 MB	57 MB	490.7 MB	481.4 MB
63	97/b749eb	8005973	SCATACPIPE:DOWNSTREAM_ARCHR:PREP_FRAGMENT (5)	CACHED	0	2022-06-15 19:55:03.931	13m 20s	12m 37s	111.9%	10 MB	52.5 MB	22.9 GB	22.9 GB
65	2b/582e36	8005859	SCATACPIPE:DOWNSTREAM_ARCHR:PREP_FRAGMENT (1)	CACHED	0	2022-06-15 18:59:13.875	1m 15s	58.2s	108.4%	10 MB	52.5 MB	2.1 GB	2 GB
64	28/ba64d1	8005906	SCATACPIPE:DOWNSTREAM_ARCHR:PREP_FRAGMENT (3)	CACHED	0	2022-06-15 19:25:13.860	8m 50s	8m 34s	112.7%	10 MB	52.5 MB	15.3 GB	15.3 GB
62	12/b7210b	8005907	SCATACPIPE:DOWNSTREAM_ARCHR:PREP_FRAGMENT (4)	CACHED	0	2022-06-15 19:25:28.844	8m	7m 43s	112.8%	10 MB	52.5 MB	14.3 GB	14.2 GB
66	0e/ee22d7	8005974	SCATACPIPE:DOWNSTREAM_ARCHR:PREP_FRAGMENT (6)	CACHED	0	2022-06-15 19:55:04.028	17m 25s	16m 50s	112.3%	10 MB	52.5 MB	29.6 GB	29.5 GB
52	93/50d92f	8006431	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_ADD_DOUBLETSCORES (2)	CACHED	0	2022-06-16 01:43:52.918	2m 10s	1m 21s	154.0%	8.9 GB	12.6 GB	858.3 MB	478.2 MB
67	37/a073dd	8006417	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_CREATE_ARROWFILES_ANNOTATION (4)	CACHED	0	2022-06-16 01:16:13.681	33m 34s	33m 25s	99.2%	2.6 GB	3.4 GB	7.7 GB	3.8 GB
69	98/eb6e04	8006420	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_CREATE_ARROWFILES_ANNOTATION (1)	CACHED	0	2022-06-16 01:16:14.848	17m 38s	16m 41s	98.5%	1.8 GB	2.7 GB	1.7 GB	512.4 MB
68	dc/406f79	8006418	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_CREATE_ARROWFILES_ANNOTATION (3)	CACHED	0	2022-06-16 01:16:14.100	1h 9m 14s	1h 8m 47s	99.9%	2.9 GB	3.8 GB	11.2 GB	5.7 GB
71	d0/edffb9	8006419	SCATACPIPE:DOWNSTREAM_ARCHR:ARCHR_CREATE_ARROWFILES_ANNOTATION (6)	CACHED	0	2022-06-16 01:16:14.471	53m 33s	53m 19s	99.1%	3.5 GB	4.4 GB	14.2 GB	7.4 GB
