task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
95	26/d9d798	8010255	SCATACPIPE:PREPROCESS_DEFAULT:CORRECT_BARCODE_PHENIQS (3)	CACHED	0	2022-06-16 15:05:52.239	13m 15s	12m 34s	1058.5%	308.5 MB	3.7 GB	20.3 GB	14.4 GB
94	f4/f1889a	8033902	SCATACPIPE:PREPROCESS_DEFAULT:GET_VALID_BARCODE (6)	CACHED	0	2022-06-17 00:57:12.945	50m 35s	50m 9s	129.2%	2 GB	2.3 GB	237.6 GB	213.4 GB
101	1f/12af9c	8041508	SCATACPIPE:PREPROCESS_DEFAULT:TAG_BAM (9)	CACHED	0	2022-06-17 16:40:57.204	3m 49s	3m 16s	178.8%	3.1 GB	3.1 GB	25.4 GB	23.2 GB
100	93/40d296	8041506	SCATACPIPE:PREPROCESS_DEFAULT:TAG_BAM (11)	CACHED	0	2022-06-17 16:40:55.084	3m 51s	3m 23s	180.2%	3.1 GB	3.1 GB	25.5 GB	23.3 GB
104	49/577705	8033598	SCATACPIPE:PREPROCESS_DEFAULT:CORRECT_BARCODE_PHENIQS (6)	CACHED	0	2022-06-16 19:31:02.687	1h 49m 50s	1h 48m 46s	1942.0%	531.1 MB	3.9 GB	85.3 GB	60.2 GB
102	5d/7f1a71	8041511	SCATACPIPE:PREPROCESS_DEFAULT:TAG_BAM (6)	CACHED	0	2022-06-17 16:40:58.424	37m 33s	37m 21s	192.6%	18.9 GB	18.9 GB	167.6 GB	150.3 GB
107	7c/e21cbb	8009541	SCATACPIPE:PREPROCESS_DEFAULT:CORRECT_BARCODE_PHENIQS (1)	CACHED	0	2022-06-16 14:15:56.699	7m 20s	7m 4s	702.3%	304.7 MB	3.9 GB	13 GB	9.2 GB
110	9d/060873	8033909	SCATACPIPE:PREPROCESS_DEFAULT:CORRECT_BARCODE_PHENIQS (12)	CACHED	0	2022-06-17 01:47:48.141	8h 48m 11s	8h 47m 21s	2751.2%	944.7 MB	4.7 GB	152.8 GB	108.3 GB
108	91/558c5e	8009540	SCATACPIPE:PREPROCESS_DEFAULT:CORRECT_BARCODE_PHENIQS (2)	CACHED	0	2022-06-16 14:15:56.572	8m 20s	7m 35s	704.0%	302 MB	3.8 GB	12.9 GB	9.2 GB
99	f2/962204	8041512	SCATACPIPE:PREPROCESS_DEFAULT:TAG_BAM (5)	CACHED	0	2022-06-17 16:40:58.578	22m 18s	22m 3s	182.6%	19.2 GB	19.3 GB	170.3 GB	152.7 GB
109	bd/aa0efa	8033910	SCATACPIPE:PREPROCESS_DEFAULT:CORRECT_BARCODE_PHENIQS (11)	CACHED	0	2022-06-17 01:47:48.274	8h 36m 1s	8h 35m 49s	2840.5%	952.8 MB	4.7 GB	152.6 GB	108.1 GB
103	29/b42673	8033597	SCATACPIPE:PREPROCESS_DEFAULT:CORRECT_BARCODE_PHENIQS (5)	CACHED	0	2022-06-16 19:31:02.547	1h 50m 55s	1h 50m 22s	2059.1%	530.2 MB	4.1 GB	87.2 GB	61.5 GB
106	0a/b40a03	8033699	SCATACPIPE:PREPROCESS_DEFAULT:CORRECT_BARCODE_PHENIQS (8)	CACHED	0	2022-06-16 20:42:12.819	1h 54m 5s	1h 53m 18s	1939.1%	560 MB	4.2 GB	83.2 GB	59.1 GB
111	88/5e5b77	8041510	SCATACPIPE:PREPROCESS_DEFAULT:TAG_BAM (7)	CACHED	0	2022-06-17 16:40:58.219	33m 53s	33m 26s	187.8%	12 GB	12.1 GB	103 GB	93.3 GB
105	37/7fc960	8041517	SCATACPIPE:PREPROCESS_DEFAULT:CORRECT_BARCODE_PHENIQS (2)	CACHED	0	2022-06-17 16:40:59.330	1h 44m 22s	1h 41m 17s	2092.1%	564.5 MB	4.1 GB	83 GB	58.9 GB
114	cf/077209	8041515	SCATACPIPE:PREPROCESS_DEFAULT:TAG_BAM (3)	CACHED	0	2022-06-17 16:40:59.013	16m 12s	15m 27s	183.1%	12.3 GB	12.4 GB	105.2 GB	95.2 GB
